source,variable,table,description,data_type,logic
survey,bike_store_7,person,Typical bike storage location: Unlocked on-street,integer/categorical,Daily 5: If housheold has at least one bike
survey,bike_store_997,person,Typical bike storage location: Other,integer/categorical,Daily 5: If housheold has at least one bike
survey,micromobility_devices_1,person,Micromobility transportation options used: Scooter,integer/categorical,Daily 5: If rMove or (rMove for Web and person 1)
survey,micromobility_devices_2,person,Micromobility transportation options used: Moped,integer/categorical,Daily 5: If rMove or (rMove for Web and person 1)
survey,micromobility_devices_3,person,Micromobility transportation options used: Skateboard or rollerblades,integer/categorical,Daily 5: If rMove or (rMove for Web and person 1)
survey,micromobility_devices_997,person,Micromobility transportation options used: Other,integer/categorical,Daily 5: If rMove or (rMove for Web and person 1)
survey,micromobility_devices_999,person,Micromobility transportation options used: None of the above,integer/categorical,Daily 5: If rMove or (rMove for Web and person 1)
survey,transit_freq,person,How often person typically uses transit,integer/categorical,Daily 2
survey,transit_freq_change,person,How does person's use of transit compare to one year ago,integer/categorical,Daily 2
survey,transit_freq_work,person,How often person uses transit for their work commute or a work-related trip,integer/categorical,"Daily 2: If employed full/part/self/volunteer, commute_freq is not ""Never"", and transit_freq is not ""Never"""
survey,transit_pass_0,person,Does person have a multi-day or multi-trip transit pass: No,integer/categorical,Daily 2
survey,transit_pass_1,person,"Does person have a multi-day or multi-trip transit pass: Yes, a 30-day or monthly pass",integer/categorical,Daily 2
survey,transit_pass_2,person,"Does person have a multi-day or multi-trip transit pass: Yes, a Day Pass 5-Pack",integer/categorical,Daily 2
survey,transit_pass_3,person,"Does person have a multi-day or multi-trip transit pass: Yes, a 7-day pass",integer/categorical,Daily 2
survey,transit_pass_4,person,"Does person have a multi-day or multi-trip transit pass: Yes, a 3-day pass",integer/categorical,Daily 2
survey,transit_pass_5,person,"Does person have a multi-day or multi-trip transit pass: Yes, a 1-day pass",integer/categorical,Daily 2
survey,transit_fare_program_1,person,Free or reduced fare program(s) used: Seniors/people with disabilities ride free,integer/categorical,Daily 2
survey,transit_fare_program_2,person,Free or reduced fare program(s) used: Seniors/people with disabilities reduced fares,integer/categorical,Daily 2
survey,transit_fare_program_3,person,Free or reduced fare program(s) used: Medicare recipient reduced fares,integer/categorical,Daily 2
survey,transit_fare_program_4,person,Free or reduced fare program(s) used: Access Pilot Program,integer/categorical,Daily 2
survey,transit_fare_program_5,person,Free or reduced fare program(s) used: Military Service Pass,integer/categorical,Daily 2
survey,transit_fare_program_6,person,Free or reduced fare program(s) used: Children ages 7-11 reduced fares,integer/categorical,Daily 2
survey,transit_fare_program_7,person,Free or reduced fare program(s) used: School/educational reduced fare,integer/categorical,Daily 2
survey,transit_fare_program_8,person,Free or reduced fare program(s) used: U-Pass,integer/categorical,Daily 2
survey,transit_fare_program_996,person,Free or reduced fare program(s) used: None of the above,integer/categorical,Daily 2
survey,transit_fare_program_997,person,Free or reduced fare program(s) used: Other,integer/categorical,Daily 2
survey,transit_fare_program_998,person,Free or reduced fare program(s) used: Don't know,integer/categorical,Daily 2
survey,barriers_1,person,Barriers preventing person from making a trip in the past week: Parking was too expensive,integer/categorical,Daily 2
survey,barriers_2,person,Barriers preventing person from making a trip in the past week: Vehicle was not working,integer/categorical,Daily 2
survey,barriers_3,person,Barriers preventing person from making a trip in the past week: Vehicle was not available,integer/categorical,Daily 2
survey,barriers_4,person,Barriers preventing person from making a trip in the past week: Bus was not running,integer/categorical,Daily 2
survey,barriers_5,person,Barriers preventing person from making a trip in the past week: Poor weather conditions,integer/categorical,Daily 2
survey,barriers_6,person,Barriers preventing person from making a trip in the past week: Lack of EV charging stations,integer/categorical,Daily 2
survey,barriers_996,person,Barriers preventing person from making a trip in the past week: Other,integer/categorical,Daily 2
survey,barriers_997,person,Barriers preventing person from making a trip in the past week: This has not happened in the past 7 days,integer/categorical,Daily 2
survey,barriers_999,person,Barriers preventing person from making a trip in the past week: Prefer not to answer,integer/categorical,Daily 2
survey,problem,person,Biggest problem with transportation where person lives,integer/categorical,Daily 2
survey,problem_other,person,Biggest problem with transportation where person lives-- Other specified,character,Daily 2: If problem = Other
survey,limits,person,Person has felt their opportunities have been limited by their transportation options in the past year,integer/categorical,Daily 2
survey,can_drive,person,Person can drive,integer/categorical,NA
survey,vehicle,person,Vehicle driven most often,integer/categorical,Daily 3: If household has 1+ vehicles and person drives
survey,home_vehicle_park,person,Where household vehicle(s) are typically parked at home,integer/categorical,Daily 3: If household has 1+ vehicles and person drives; if rMove or (rMove for Web and person 1)
survey,home_vehicle_park_space,person,Person has an assigned parking spot at home,integer/categorical,Daily 3: If parks in a parking lot/garage
survey,home_vehicle_park_pay,person,Person pays to park their vehicle(s) at home,integer/categorical,Daily 3: If household has 1+ vehicles and person drives; if rMove or (rMove for Web and person 1)
